sample.name	Âµl.of.RNA	sample.group	description	replicate.number	animal.number	tissue	group	read1	read2
01T	20	CY	total_tissue	1	R1	brain	TovaCAR.+AAV	data/fastq/p1425s01T-Cybrain_rt_mRNA_Lodygin_AA_1/p1425s01T-Cybrain_Lodygin_S13_L002_R1_001.fastq.gz	data/fastq/p1425s01T-Cybrain_rt_mRNA_Lodygin_AA_1/p1425s01T-Cybrain_Lodygin_S13_L002_R2_001.fastq.gz
02T	20	TY	total_tissue	1	R2	brain	Tova.+AAV	data/fastq/p1425s02T-Tybrain_rt_mRNA_Lodygin_AB_1/p1425s02T-Tybrain_Lodygin_S14_L002_R1_001.fastq.gz	data/fastq/p1425s02T-Tybrain_rt_mRNA_Lodygin_AB_1/p1425s02T-Tybrain_Lodygin_S14_L002_R2_001.fastq.gz
03T	20	CY	total_tissue	2	R3	brain	TovaCAR.+AAV	data/fastq/p1425s03T-Cybrain_rt_mRNA_Lodygin_AC_1/p1425s03T-Cybrain_Lodygin_S15_L002_R1_001.fastq.gz	data/fastq/p1425s03T-Cybrain_rt_mRNA_Lodygin_AC_1/p1425s03T-Cybrain_Lodygin_S15_L002_R2_001.fastq.gz
04T	20	TY	total_tissue	2	R4	brain	Tova.+AAV	data/fastq/p1425s04T-Tybrain_rt_mRNA_Lodygin_AD_1/p1425s04T-Tybrain_Lodygin_S16_L002_R1_001.fastq.gz	data/fastq/p1425s04T-Tybrain_rt_mRNA_Lodygin_AD_1/p1425s04T-Tybrain_Lodygin_S16_L002_R2_001.fastq.gz
05T	20	CY	total_tissue	3	R5	brain	TovaCAR.+AAV	data/fastq/p1425s05T-Cybrain_rt_mRNA_Lodygin_AE_1/p1425s05T-Cybrain_Lodygin_S17_L002_R1_001.fastq.gz	data/fastq/p1425s05T-Cybrain_rt_mRNA_Lodygin_AE_1/p1425s05T-Cybrain_Lodygin_S17_L002_R2_001.fastq.gz
06T	20	TY	total_tissue	3	R6	brain	Tova.+AAV	data/fastq/p1425s06T-Tybrain_rt_mRNA_Lodygin_AF_1/p1425s06T-Tybrain_Lodygin_S18_L002_R1_001.fastq.gz	data/fastq/p1425s06T-Tybrain_rt_mRNA_Lodygin_AF_1/p1425s06T-Tybrain_Lodygin_S18_L002_R2_001.fastq.gz
07T	20	CY	total_tissue	4	R7	brain	TovaCAR.+AAV	data/fastq/p1425s07T-Cybrain_rt_mRNA_Lodygin_AG_1/p1425s07T-Cybrain_Lodygin_S19_L002_R1_001.fastq.gz	data/fastq/p1425s07T-Cybrain_rt_mRNA_Lodygin_AG_1/p1425s07T-Cybrain_Lodygin_S19_L002_R2_001.fastq.gz
08T	20	CN	total_tissue	1	R8	brain	TovaCAR.noAAV	data/fastq/p1425s08T-Cnbrain_rt_mRNA_Lodygin_AH_1/p1425s08T-Cnbrain_Lodygin_S20_L002_R1_001.fastq.gz	data/fastq/p1425s08T-Cnbrain_rt_mRNA_Lodygin_AH_1/p1425s08T-Cnbrain_Lodygin_S20_L002_R2_001.fastq.gz
09T	20	CN	total_tissue	2	R10	brain	TovaCAR.noAAV	data/fastq/p1425s09T-Cnbrain_rt_mRNA_Lodygin_AI_1/p1425s09T-Cnbrain_Lodygin_S21_L002_R1_001.fastq.gz	data/fastq/p1425s09T-Cnbrain_rt_mRNA_Lodygin_AI_1/p1425s09T-Cnbrain_Lodygin_S21_L002_R2_001.fastq.gz
10T	20	TN	total_tissue	1	R11	brain	Tova.noAAV	data/fastq/p1425s10T-Tnbrain_rt_mRNA_Lodygin_AJ_1/p1425s10T-Tnbrain_Lodygin_S22_L002_R1_001.fastq.gz	data/fastq/p1425s10T-Tnbrain_rt_mRNA_Lodygin_AJ_1/p1425s10T-Tnbrain_Lodygin_S22_L002_R2_001.fastq.gz
11T	20	CN	total_tissue	3	R12	brain	TovaCAR.noAAV	data/fastq/p1425s11T-Cnbrain_rt_mRNA_Lodygin_AK_1/p1425s11T-Cnbrain_Lodygin_S23_L002_R1_001.fastq.gz	data/fastq/p1425s11T-Cnbrain_rt_mRNA_Lodygin_AK_1/p1425s11T-Cnbrain_Lodygin_S23_L002_R2_001.fastq.gz
12T	20	TN	total_tissue	2	R13	brain	Tova.noAAV	data/fastq/p1425s12T-Tnbrain_rt_mRNA_Lodygin_AL_1/p1425s12T-Tnbrain_Lodygin_S24_L002_R1_001.fastq.gz	data/fastq/p1425s12T-Tnbrain_rt_mRNA_Lodygin_AL_1/p1425s12T-Tnbrain_Lodygin_S24_L002_R2_001.fastq.gz
13T	20	TN	total_tissue	3	R14	brain	Tova.noAAV	data/fastq/p1425s13T-Tnbrain_rt_mRNA_Lodygin_AM_1/p1425s13T-Tnbrain_Lodygin_S25_L002_R1_001.fastq.gz	data/fastq/p1425s13T-Tnbrain_rt_mRNA_Lodygin_AM_1/p1425s13T-Tnbrain_Lodygin_S25_L002_R2_001.fastq.gz
14T	20	CY	total_tissue	1	R1	SC	TovaCAR.+AAV	data/fastq/p1425s14T-Cy-spinal-cord_rt_mRNA_Lodygin_AN_1/p1425s14T-Cy-spinal-cord_Lodygin_S26_L002_R1_001.fastq.gz	data/fastq/p1425s14T-Cy-spinal-cord_rt_mRNA_Lodygin_AN_1/p1425s14T-Cy-spinal-cord_Lodygin_S26_L002_R2_001.fastq.gz
15T	20	TY	total_tissue	1	R2	SC	Tova.+AAV	data/fastq/p1425s15T-Ty-spinal-cord_rt_mRNA_Lodygin_AO_1/p1425s15T-Ty-spinal-cord_Lodygin_S27_L002_R1_001.fastq.gz	data/fastq/p1425s15T-Ty-spinal-cord_rt_mRNA_Lodygin_AO_1/p1425s15T-Ty-spinal-cord_Lodygin_S27_L002_R2_001.fastq.gz
16T	20	CY	total_tissue	2	R3	SC	TovaCAR.+AAV	data/fastq/p1425s16T-Cy-spinal-cord_rt_mRNA_Lodygin_AP_1/p1425s16T-Cy-spinal-cord_Lodygin_S28_L002_R1_001.fastq.gz	data/fastq/p1425s16T-Cy-spinal-cord_rt_mRNA_Lodygin_AP_1/p1425s16T-Cy-spinal-cord_Lodygin_S28_L002_R2_001.fastq.gz
17T	20	TY	total_tissue	2	R4	SC	Tova.+AAV	data/fastq/p1425s17T-Ty-spinal-cord_rt_mRNA_Lodygin_AR_1/p1425s17T-Ty-spinal-cord_Lodygin_S29_L002_R1_001.fastq.gz	data/fastq/p1425s17T-Ty-spinal-cord_rt_mRNA_Lodygin_AR_1/p1425s17T-Ty-spinal-cord_Lodygin_S29_L002_R2_001.fastq.gz
18T	20	CY	total_tissue	3	R5	SC	TovaCAR.+AAV	data/fastq/p1425s18T-Cy-spinal-cord_rt_mRNA_Lodygin_AS_1/p1425s18T-Cy-spinal-cord_Lodygin_S30_L002_R1_001.fastq.gz	data/fastq/p1425s18T-Cy-spinal-cord_rt_mRNA_Lodygin_AS_1/p1425s18T-Cy-spinal-cord_Lodygin_S30_L002_R2_001.fastq.gz
19T	20	TY	total_tissue	3	R6	SC	Tova.+AAV	data/fastq/p1425s19T-Ty-spinal-cord_rt_mRNA_Lodygin_AT_1/p1425s19T-Ty-spinal-cord_Lodygin_S31_L002_R1_001.fastq.gz	data/fastq/p1425s19T-Ty-spinal-cord_rt_mRNA_Lodygin_AT_1/p1425s19T-Ty-spinal-cord_Lodygin_S31_L002_R2_001.fastq.gz
20T	20	CY	total_tissue	4	R7	SC	TovaCAR.+AAV	data/fastq/p1425s20T-Cy-spinal-cord_rt_mRNA_Lodygin_AU_1/p1425s20T-Cy-spinal-cord_Lodygin_S32_L002_R1_001.fastq.gz	data/fastq/p1425s20T-Cy-spinal-cord_rt_mRNA_Lodygin_AU_1/p1425s20T-Cy-spinal-cord_Lodygin_S32_L002_R2_001.fastq.gz
21T	20	CN	total_tissue	1	R8	SC	TovaCAR.noAAV	data/fastq/p1425s21T-Cn-spinal-cord_rt_mRNA_Lodygin_AV_1/p1425s21T-Cn-spinal-cord_Lodygin_S33_L002_R1_001.fastq.gz	data/fastq/p1425s21T-Cn-spinal-cord_rt_mRNA_Lodygin_AV_1/p1425s21T-Cn-spinal-cord_Lodygin_S33_L002_R2_001.fastq.gz
22T	20	CN	total_tissue	2	R10	SC	TovaCAR.noAAV	data/fastq/p1425s22T-Cn-spinal-cord_rt_mRNA_Lodygin_AW_1/p1425s22T-Cn-spinal-cord_Lodygin_S34_L002_R1_001.fastq.gz	data/fastq/p1425s22T-Cn-spinal-cord_rt_mRNA_Lodygin_AW_1/p1425s22T-Cn-spinal-cord_Lodygin_S34_L002_R2_001.fastq.gz
23T	20	TN	total_tissue	1	R11	SC	Tova.noAAV	data/fastq/p1425s23T-Tn-spinal-cord_rt_mRNA_Lodygin_AX_1/p1425s23T-Tn-spinal-cord_Lodygin_S35_L002_R1_001.fastq.gz	data/fastq/p1425s23T-Tn-spinal-cord_rt_mRNA_Lodygin_AX_1/p1425s23T-Tn-spinal-cord_Lodygin_S35_L002_R2_001.fastq.gz
24T	20	CN	total_tissue	3	R12	SC	TovaCAR.noAAV	data/fastq/p1425s24T-Cn-spinal-cord_rt_mRNA_Lodygin_AY_1/p1425s24T-Cn-spinal-cord_Lodygin_S36_L002_R1_001.fastq.gz	data/fastq/p1425s24T-Cn-spinal-cord_rt_mRNA_Lodygin_AY_1/p1425s24T-Cn-spinal-cord_Lodygin_S36_L002_R2_001.fastq.gz
25T	20	TN	total_tissue	2	R13	SC	Tova.noAAV	data/fastq/p1425s25T-Tn-spinal-cord_rt_mRNA_Lodygin_AX_1/p1425s25T-Tn-spinal-cord_Lodygin_S37_L002_R1_001.fastq.gz	data/fastq/p1425s25T-Tn-spinal-cord_rt_mRNA_Lodygin_AX_1/p1425s25T-Tn-spinal-cord_Lodygin_S37_L002_R2_001.fastq.gz
26T	20	TN	total_tissue	3	R14	SC	Tova.noAAV	data/fastq/p1425s26T-Tn-spinal-cord_rt_mRNA_Lodygin_BA_1/p1425s26T-Tn-spinal-cord_Lodygin_S38_L002_R1_001.fastq.gz	data/fastq/p1425s26T-Tn-spinal-cord_rt_mRNA_Lodygin_BA_1/p1425s26T-Tn-spinal-cord_Lodygin_S38_L002_R2_001.fastq.gz
